@relation instruments

@attribute Id numeric
@attribute Name string
@attribute StyleId numeric
@attribute StyleName string
@attribute PathToSampleTable string
@attribute LowestMIDIPitch numeric
@attribute HighestMIDIPitch numeric

@data
1,AcousticGuitar,1,tr111AGAFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr111AGAFM.arff,40,76
1,AcousticGuitar,2,tr111AGAPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr111AGAPM.arff,40,76
1,AcousticGuitar,3,tr111AGRFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr111AGRFM.arff,40,76
1,AcousticGuitar,4,tr111AGRPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr111AGRPM.arff,40,76
1,AcousticGuitar,5,tr112AGAFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr112AGAFM.arff,40,76
1,AcousticGuitar,6,tr112AGAPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr112AGAPM.arff,40,76
1,AcousticGuitar,7,tr112AGRFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr112AGRFM.arff,40,76
1,AcousticGuitar,8,tr112AGRPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr112AGRPM.arff,40,76
1,AcousticGuitar,9,tr113AGAFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr113AGAFM.arff,40,76
1,AcousticGuitar,10,tr113AGAPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr113AGAPM.arff,40,76
1,AcousticGuitar,11,tr113AGRFM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr113AGRFM.arff,40,76
1,AcousticGuitar,12,tr113AGRPM,SampleLists/MUMS-RWC-Iowa/AcousticGuitar-tr113AGRPM.arff,40,76
2,Balalaika,1,"",SampleLists/EthnoWorld/BALALAIKA_KEY.arff,45,77
3,Bandura,1,"",SampleLists/EthnoWorld/BANDURA.arff,36,91
4,BanjoFramus,1,"",SampleLists/EthnoWorld/BANJO_FRAMUS.arff,45,86
5,Banjolin,1,"",SampleLists/EthnoWorld/BANJOLIN.arff,52,81
6,Bass,1,Basses_Essential,SampleLists/Komplete/Basses_Essential.arff,24,61
6,Bass,2,Basses_SessionStringsPro,SampleLists/Komplete/Basses_SessionStringsPro.arff,24,65
7,Bassoon,1,Basson_Essential,SampleLists/Komplete/Basson_Essential.arff,33,71
7,Bassoon,2,Bassoons_Essential,SampleLists/Komplete/Bassoons_Essential.arff,32,74
8,Bawu,1,"",SampleLists/EthnoWorld/BAWU_KEY.arff,59,77
9,Bouzouki,1,"",SampleLists/EthnoWorld/BOUZOUKI_SAKIS_KEY.arff,48,83
10,Cello,1,tr171VCNOM,SampleLists/MUMS-RWC-Iowa/Cello-tr171VCNOM.arff,36,79
10,Cello,2,tr171VCNVM,SampleLists/MUMS-RWC-Iowa/Cello-tr171VCNVM.arff,36,79
10,Cello,3,tr171VCSOM,SampleLists/MUMS-RWC-Iowa/Cello-tr171VCSOM.arff,36,80
10,Cello,4,tr172VCNOM,SampleLists/MUMS-RWC-Iowa/Cello-tr172VCNOM.arff,36,79
10,Cello,5,tr172VCNVM,SampleLists/MUMS-RWC-Iowa/Cello-tr172VCNVM.arff,36,79
10,Cello,6,tr173VCNOM,SampleLists/MUMS-RWC-Iowa/Cello-tr173VCNOM.arff,36,78
10,Cello,7,tr173VCNVM,SampleLists/MUMS-RWC-Iowa/Cello-tr173VCNVM.arff,36,77
10,Cello,8,Cellos_Essential,SampleLists/Komplete/Cellos_Essential.arff,36,79
10,Cello,9,Cellos_SessionStringsPro,SampleLists/Komplete/Cellos_SessionStringsPro.arff,36,72
11,CeylonGuitar,1,"",SampleLists/EthnoWorld/CEYLON_GUITAR.arff,36,60
12,Clarinet,1,Clarinet_Essential,SampleLists/Komplete/Clarinet_Essential.arff,50,87
12,Clarinet,2,Clarinets_Essential,SampleLists/Komplete/Clarinets_Essential.arff,48,90
13,Contrabassoon,1,Contrabassoon_Essential,SampleLists/Komplete/Contrabassoon_Essential.arff,22,60
14,Cumbus,1,"",SampleLists/EthnoWorld/CUMBUS_OPEN_STRINGS.arff,36,72
15,DallapeAccordion,1,"",SampleLists/EthnoWorld/DALLAPE_ACCORDION_KEY.arff,35,95
16,Dilruba,1,"",SampleLists/EthnoWorld/DILRUBA_KEY.arff,48,79
17,Domra,1,"",SampleLists/EthnoWorld/DOMRA_KEY.arff,48,83
18,Drums,1,AR50s_AutumnKit,SampleLists/Komplete/AR50s_AutumnKit.arff,36,64
18,Drums,2,AR50s_SpringKit,SampleLists/Komplete/AR50s_SpringKit.arff,36,64
18,Drums,3,AR60s_EarlyKit,SampleLists/Komplete/AR60s_EarlyKit.arff,36,64
18,Drums,4,AR60s_LateKit,SampleLists/Komplete/AR60s_LateKit.arff,36,64
18,Drums,5,AR70s_OpenKit,SampleLists/Komplete/AR70s_OpenKit.arff,36,64
18,Drums,6,AR70s_TightKit,SampleLists/Komplete/AR70s_TightKit.arff,36,64
18,Drums,7,AR80s_BlackKit,SampleLists/Komplete/AR80s_BlackKit.arff,36,64
18,Drums,8,AR80s_ChromeKit,SampleLists/Komplete/AR80s_ChromeKit.arff,36,64
18,Drums,9,ARMordern_SparkleKit,SampleLists/Komplete/ARMordern_SparkleKit.arff,36,64
18,Drums,10,ARMordern_WhiteKit,SampleLists/Komplete/ARMordern_WhiteKit.arff,36,64
18,Drums,11,ARVintage_EbonyKit,SampleLists/Komplete/ARVintage_EbonyKit.arff,36,64
18,Drums,12,ARVintage_IvoryKit,SampleLists/Komplete/ARVintage_IvoryKit.arff,36,64
19,DungDkarTrumpet,1,"",SampleLists/EthnoWorld/DUNG_DKAR_TRUMPET_KEY.arff,52,81
20,EgyptianFiddle,1,"",SampleLists/EthnoWorld/EGYPTIAN_FIDDLE.arff,40,76
